,Date,MarketPrice
750,2016-03-15,2015.93
751,2016-03-16,2027.22
752,2016-03-17,2040.59
753,2016-03-18,2049.58
754,2016-03-21,2051.6
755,2016-03-22,2049.8
756,2016-03-23,2036.71
757,2016-03-24,2035.94
758,2016-03-25,
759,2016-03-28,2037.05
760,2016-03-29,2055.01
761,2016-03-30,2063.95
762,2016-03-31,2059.74
763,2016-04-01,2072.78
764,2016-04-04,2066.13
765,2016-04-05,2045.17
766,2016-04-06,2066.66
767,2016-04-07,2041.91
768,2016-04-08,2047.6
769,2016-04-11,2041.99
770,2016-04-12,2061.72
771,2016-04-13,2082.42
772,2016-04-14,2082.78
773,2016-04-15,2080.73
774,2016-04-18,2094.34
775,2016-04-19,2100.8
776,2016-04-20,2102.4
777,2016-04-21,2091.48
778,2016-04-22,2091.58
779,2016-04-25,2087.79
780,2016-04-26,2091.7
781,2016-04-27,2095.15
782,2016-04-28,2075.81
783,2016-04-29,2065.3
784,2016-05-02,2081.43
785,2016-05-03,2063.37
786,2016-05-04,2051.12
787,2016-05-05,2050.63
788,2016-05-06,2057.14
789,2016-05-09,2058.69
790,2016-05-10,2084.39
791,2016-05-11,2064.46
792,2016-05-12,2064.11
793,2016-05-13,2046.61
794,2016-05-16,2066.66
795,2016-05-17,2047.21
796,2016-05-18,2047.63
797,2016-05-19,2040.04
798,2016-05-20,2052.32
799,2016-05-23,2048.04
800,2016-05-24,2076.06
801,2016-05-25,2090.54
802,2016-05-26,2090.1
803,2016-05-27,2099.06
804,2016-05-30,
805,2016-05-31,2096.96
806,2016-06-01,2099.33
807,2016-06-02,2105.26
808,2016-06-03,2099.13
809,2016-06-06,2109.41
810,2016-06-07,2112.13
811,2016-06-08,2119.12
812,2016-06-09,2115.48
813,2016-06-10,2096.07
814,2016-06-13,2079.06
815,2016-06-14,2075.32
816,2016-06-15,2071.5
817,2016-06-16,2077.99
818,2016-06-17,2071.22
819,2016-06-20,2083.25
820,2016-06-21,2088.9
821,2016-06-22,2085.45
822,2016-06-23,2113.32
823,2016-06-24,2037.41
824,2016-06-27,2000.54
825,2016-06-28,2036.09
826,2016-06-29,2070.77
827,2016-06-30,2098.86
828,2016-07-01,2102.95
829,2016-07-04,
830,2016-07-05,2088.55
831,2016-07-06,2099.73
832,2016-07-07,2097.9
833,2016-07-08,2129.9
834,2016-07-11,2137.16
835,2016-07-12,2152.14
836,2016-07-13,2152.43
837,2016-07-14,2163.75
838,2016-07-15,2161.74
839,2016-07-18,2166.89
840,2016-07-19,2163.78
841,2016-07-20,2173.02
842,2016-07-21,2165.17
843,2016-07-22,2175.03
844,2016-07-25,2168.48
845,2016-07-26,2169.18
846,2016-07-27,2166.58
847,2016-07-28,2170.06
848,2016-07-29,2173.6
849,2016-08-01,2170.84
850,2016-08-02,2157.03
851,2016-08-03,2163.79
852,2016-08-04,2164.25
853,2016-08-05,2182.87
854,2016-08-08,2180.89
855,2016-08-09,2181.74
856,2016-08-10,2175.49
857,2016-08-11,2185.79
858,2016-08-12,2184.05
859,2016-08-15,2190.15
860,2016-08-16,2178.15
861,2016-08-17,2182.22
862,2016-08-18,2187.02
863,2016-08-19,2183.87
864,2016-08-22,2182.64
865,2016-08-23,2186.9
866,2016-08-24,2175.44
867,2016-08-25,2172.47
868,2016-08-26,2169.04
869,2016-08-29,2180.38
870,2016-08-30,2176.12
871,2016-08-31,2170.95
872,2016-09-01,2170.86
873,2016-09-02,2179.98
874,2016-09-05,
875,2016-09-06,2186.48
876,2016-09-07,2186.16
877,2016-09-08,2181.3
878,2016-09-09,2127.81
879,2016-09-12,2159.04
880,2016-09-13,2127.02
881,2016-09-14,2125.77
882,2016-09-15,2147.26
883,2016-09-16,2139.16
884,2016-09-19,2139.12
885,2016-09-20,2139.76
886,2016-09-21,2163.12
887,2016-09-22,2177.18
888,2016-09-23,2164.69
889,2016-09-26,2146.1
890,2016-09-27,2159.93
891,2016-09-28,2171.37
892,2016-09-29,2151.13
893,2016-09-30,2168.27
894,2016-10-03,2161.2
895,2016-10-04,2150.49
896,2016-10-05,2159.73
897,2016-10-06,2160.77
898,2016-10-07,2153.74
899,2016-10-10,2163.66
900,2016-10-11,2136.73
901,2016-10-12,2139.18
902,2016-10-13,2132.55
903,2016-10-14,2132.98
904,2016-10-17,2126.5
905,2016-10-18,2139.6
906,2016-10-19,2144.29
907,2016-10-20,2141.34
908,2016-10-21,2141.16
909,2016-10-24,2151.33
910,2016-10-25,2143.16
911,2016-10-26,2139.43
912,2016-10-27,2133.04
913,2016-10-28,2126.41
914,2016-10-31,2126.15
915,2016-11-01,2111.72
916,2016-11-02,2097.94
917,2016-11-03,2088.66
918,2016-11-04,2085.18
919,2016-11-07,2131.52
